team_num,reading_type,time_diff,date_time,lat,lon,sea_temp,air_temp
7,ship,A,11/20/2004 A,-27.1,10,21.8,20.3
7,ship,-300,11/20/2004 09:00:00,-27.5,8,21.4,19.7
7,ship,0,11/20/2004 12:00:00,-27.7,8,20.8,19.7
7,ship,300,11/20/2004 15:00:00,-27.7,8,21,19.8
7,ship,A,11/21/2004 A,-27.8,7,21.2,19.7
7,ship,-300,11/21/2004 09:00:00,-28.3,6,21.1,19
7,ship,0,11/21/2004 12:00:00,-28.4,5,20.9,20.2
7,ship,300,11/21/2004 15:00:00,-28.5,5,20.9,20.8
7,ship,A,11/22/2004 A,-28.6,4,21.1,20.8
7,ship,-300,11/22/2004 09:00:00,-29,3,20.1,18.3
7,ship,0,11/22/2004 12:00:00,-29.1,2,20.1,19.8
7,ship,300,11/22/2004 15:00:00,-29.2,2,20,19.3
7,ship,A,11/23/2004 A,-29.3,1,20.2,19.3
7,ship,A,12/21/2004 A,-17.2,9,27,24
7,ship,0,12/21/2004 12:00:00,-14.3,6,27,25
7,ship,A,01/03/2005 A,-3.5,2,24.8,NA
7,ship,0,01/03/2005 12:00:00,-2.9,4,24.5,NA
7,ship,A,01/04/2005 A,-1,10,24.6,NA
7,ship,A,01/17/2005 A,-29.6,10,23.2,NA
7,ship,A,01/18/2005 A,-28.5,10,23.5,NA
7,ship,-300,01/18/2005 09:00:00,-27.6,10,23.8,NA
7,ship,0,01/18/2005 12:00:00,-27.2,10,23.5,NA
7,ship,300,01/18/2005 15:00:00,-27.1,10,23.5,NA
7,ship,A,01/19/2005 A,-27.1,10,24,NA
7,ship,-300,01/19/2005 09:00:00,-27.1,10,23.8,NA
7,ship,0,01/19/2005 12:00:00,-27.1,10,23.7,NA
7,ship,300,01/19/2005 15:00:00,-27.1,10,23.7,NA
7,ship,A,01/20/2005 A,-27.1,10,23.9,NA
7,ship,-300,01/20/2005 09:00:00,-27.1,10,23.7,NA
7,ship,0,01/20/2005 12:00:00,-27.1,10,23.7,NA
7,ship,300,01/20/2005 15:00:00,-27.1,10,23.8,NA
7,ship,A,01/21/2005 A,-27.1,10,23.9,NA
7,ship,-300,01/21/2005 09:00:00,-26.4,9,23.9,NA
7,ship,0,01/21/2005 12:00:00,-26.1,8,23.8,NA
7,ship,300,01/21/2005 15:00:00,-25.7,8,24,NA
7,ship,A,01/22/2005 A,-24.8,7,24,NA
7,ship,-300,01/22/2005 09:00:00,-23.7,5,23.8,NA
7,ship,0,01/22/2005 12:00:00,-23.3,5,23.7,NA
